[2025-11-09T14:42:27.743Z] [INFO] 🚀 Starting Apple Documentation Crawler
[2025-11-09T14:43:53.345Z] [INFO] 📄 [41/5000] depth=1 [apple-silicon] https://developer.apple.com/documentation/apple-silicon
[2025-11-09T14:43:54.963Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/apple-silicon/documentation_apple-silicon.pdf
[2025-11-09T14:43:54.969Z] [INFO] 📄 [42/5000] depth=1 [applicationservices] https://developer.apple.com/documentation/applicationservices
[2025-11-09T14:43:56.631Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/applicationservices/documentation_applicationservices.pdf
[2025-11-09T14:43:56.639Z] [INFO] 📄 [43/5000] depth=1 [appmigrationkit] https://developer.apple.com/documentation/AppMigrationKit
[2025-11-09T14:43:58.216Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/appmigrationkit/documentation_appmigrationkit.pdf
[2025-11-09T14:43:58.221Z] [INFO] 📄 [44/5000] depth=1 [arkit] https://developer.apple.com/documentation/ARKit
[2025-11-09T14:44:01.241Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/arkit/documentation_arkit.pdf
[2025-11-09T14:44:01.246Z] [INFO] 📄 [45/5000] depth=1 [assetslibrary] https://developer.apple.com/documentation/AssetsLibrary
[2025-11-09T14:44:02.830Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/assetslibrary/documentation_assetslibrary.pdf
[2025-11-09T14:44:02.836Z] [INFO] 📄 [46/5000] depth=1 [assignables] https://developer.apple.com/documentation/Assignables
[2025-11-09T14:44:04.423Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/assignables/documentation_assignables.pdf
[2025-11-09T14:44:04.431Z] [INFO] 📄 [47/5000] depth=1 [audiotoolbox] https://developer.apple.com/documentation/AudioToolbox
[2025-11-09T14:44:06.389Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/audiotoolbox/documentation_audiotoolbox.pdf
[2025-11-09T14:44:06.397Z] [INFO] 📄 [48/5000] depth=1 [audiounit] https://developer.apple.com/documentation/AudioUnit
[2025-11-09T14:44:07.944Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/audiounit/documentation_audiounit.pdf
[2025-11-09T14:44:07.951Z] [INFO] 📄 [49/5000] depth=1 [audiodriverkit] https://developer.apple.com/documentation/AudioDriverKit
[2025-11-09T14:44:09.565Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/audiodriverkit/documentation_audiodriverkit.pdf
[2025-11-09T14:44:09.571Z] [INFO] 📄 [50/5000] depth=1 [authenticationservices] https://developer.apple.com/documentation/AuthenticationServices
[2025-11-09T14:44:11.406Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/authenticationservices/documentation_authenticationservices.pdf
[2025-11-09T14:44:11.413Z] [INFO] 📄 [51/5000] depth=1 [technologyoverviews] https://developer.apple.com/documentation/TechnologyOverviews/liquid-glass
[2025-11-09T14:44:13.604Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/technologyoverviews/documentation_technologyoverviews_liquid-glass.pdf
[2025-11-09T14:44:13.608Z] [INFO] 📄 [52/5000] depth=1 [technologyoverviews] https://developer.apple.com/documentation/TechnologyOverviews/adopting-liquid-glass
